cve_id,labels
CVE-2014-3596,"['org.ow2.jonas jonas-webservices-axis-core', 'axis', 'org.apache.axis axis', 'axis axis', 'org.ow2.orchestra orchestra-axis', 'org.lappsgrid all', 'org.ow2.orchestra orchestra-axis-osgi', 'gr.iti.mklab mklab-stream-manager', 'com.barchart.wrap barchart-wrap-axis', 'org.ow2.jonas jonas-webservices-axis']"
CVE-2014-3600,"['org.apache.activemq activemq-broker', 'org.apache.activemq activemq-all', 'org.apache.activemq apache-activemq', 'org.apache.activemq activemq-core', 'org.apache.activemq activemq-client']"
CVE-2014-3604,['ca.juliusdavies not-yet-commons-ssl']
CVE-2014-3607,['edu.vt.middleware vt-ldap']
CVE-2014-3612,"['org.apache.activemq activemq-broker', 'org.apache.activemq activemq-all', 'org.apache.activemq activemq-core', 'org.apache.activemq activemq-osgi', 'org.apache.activemq activemq-jaas']"
CVE-2014-3623,"['org.apache.cxf cxf-rt-ws-security', 'br.com.esec.icpm certillion-client-library', 'org.apache.wss4j wss4j-ws-security-dom', 'apache-cxf', 'org.apache.wss4j wss4j-ws-security-stax', 'wss4j', 'org.apache.ws.security wss4j', 'org.apache.cxf cxf']"
CVE-2014-3625,"['org.craftercms crafter-search-index-updater', 'net.oschina.durcframework durcframework-core', 'com.github.raychatter spring-restful-exception-handler', 'net.winroad wrdoclet', 'com.github.pabloo99.xmlsoccer xmlsoccer', 'org.springframework spring-webmvc', 'com.graphaware.neo4j graphaware-framework-server-community']"
CVE-2014-3627,"['org.apache.hadoop hadoop-yarn-server-nodemanager', 'org.apache.hadoop hadoop-yarn', 'org.apache.hadoop hadoop-yarn-common']"
CVE-2014-3628,"['org.apache.solr solr', 'org.apache.solr solr-core']"
CVE-2014-3651,['org.keycloak keycloak-services']
CVE-2014-3661,"['nodejs-from', 'nodejs-got', 'nodejs-rc', 'nodejs-object-assign', 'jenkins-plugin-openshift', 'nodejs-slide', 'nodejs-kind-of', 'nodejs-pinkie', 'nodejs-align-text', 'nodejs-graceful-fs', 'nodejs-mkdirp', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'jenkins', 'openshift-origin-cartridge-jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-duplexify', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'nodejs-event-stream', 'atomic-openshift', 'nodejs-semver', 'nodejs-read-all-stream', 'nodejs-split', 'nodejs-normalize-path', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-registry-url', 'nodejs-ini', 'nodejs-pause-stream']"
CVE-2014-3662,"['nodejs-from', 'nodejs-got', 'nodejs-registry-url', 'nodejs-duplexify', 'nodejs-object-assign', 'jenkins-plugin-openshift', 'nodejs-slide', 'nodejs-mkdirp', 'nodejs-pinkie', 'nodejs-align-text', 'nodejs-graceful-fs', 'nodejs-kind-of', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'jenkins', 'openshift-origin-cartridge-jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-rc', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'atomic-openshift', 'nodejs-semver', 'nodejs-read-all-stream', 'nodejs-split', 'nodejs-normalize-path', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-event-stream', 'nodejs-ini', 'nodejs-pause-stream']"
CVE-2014-3663,"['nodejs-from', 'nodejs-got', 'nodejs-rc', 'nodejs-object-assign', 'jenkins-plugin-openshift', 'nodejs-slide', 'nodejs-kind-of', 'nodejs-pinkie', 'nodejs-align-text', 'nodejs-graceful-fs', 'nodejs-mkdirp', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'jenkins', 'openshift-origin-cartridge-jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-duplexify', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'nodejs-event-stream', 'atomic-openshift', 'nodejs-semver', 'nodejs-read-all-stream', 'nodejs-split', 'nodejs-normalize-path', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-registry-url', 'nodejs-ini', 'nodejs-pause-stream']"
CVE-2014-3664,"['nodejs-from', 'nodejs-got', 'nodejs-registry-url', 'nodejs-duplexify', 'nodejs-object-assign', 'jenkins-plugin-openshift', 'nodejs-slide', 'nodejs-mkdirp', 'nodejs-pinkie', 'nodejs-align-text', 'nodejs-graceful-fs', 'nodejs-kind-of', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'jenkins', 'openshift-origin-cartridge-jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-rc', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'atomic-openshift', 'nodejs-semver', 'nodejs-read-all-stream', 'nodejs-split', 'nodejs-normalize-path', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-event-stream', 'nodejs-ini', 'nodejs-pause-stream']"
CVE-2014-3665,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-3666,"['nodejs-from', 'nodejs-got', 'nodejs-registry-url', 'nodejs-duplexify', 'nodejs-object-assign', 'jenkins-plugin-openshift', 'nodejs-slide', 'nodejs-mkdirp', 'nodejs-pinkie', 'nodejs-align-text', 'nodejs-graceful-fs', 'nodejs-kind-of', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'jenkins', 'openshift-origin-cartridge-jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-rc', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'atomic-openshift', 'nodejs-semver', 'nodejs-read-all-stream', 'nodejs-split', 'nodejs-normalize-path', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-event-stream', 'nodejs-ini', 'nodejs-pause-stream']"
CVE-2014-3667,"['nodejs-from', 'nodejs-got', 'nodejs-rc', 'nodejs-object-assign', 'jenkins-plugin-openshift', 'nodejs-slide', 'nodejs-kind-of', 'nodejs-pinkie', 'nodejs-align-text', 'nodejs-graceful-fs', 'nodejs-mkdirp', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'jenkins', 'openshift-origin-cartridge-jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-duplexify', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'nodejs-event-stream', 'atomic-openshift', 'nodejs-semver', 'nodejs-read-all-stream', 'nodejs-split', 'nodejs-normalize-path', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-registry-url', 'nodejs-ini', 'nodejs-pause-stream']"
CVE-2014-3678,"['jenkins', 'openshift-origin-cartridge-jenkins', 'jenkins-plugin-openshift']"
CVE-2014-3680,"['nodejs-from', 'nodejs-got', 'nodejs-registry-url', 'nodejs-duplexify', 'nodejs-object-assign', 'nodejs-slide', 'nodejs-kind-of', 'nodejs-pinkie', 'nodejs-align-text', 'nodejs-graceful-fs', 'nodejs-mkdirp', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'nodejs-through', 'nodejs-map-stream', 'nodejs-rc', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'atomic-openshift', 'nodejs-semver', 'nodejs-read-all-stream', 'nodejs-split', 'nodejs-normalize-path', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-event-stream', 'nodejs-ini', 'nodejs-pause-stream']"
CVE-2014-3681,"['nodejs-from', 'nodejs-got', 'nodejs-registry-url', 'nodejs-duplexify', 'nodejs-object-assign', 'jenkins-plugin-openshift', 'nodejs-slide', 'nodejs-mkdirp', 'nodejs-pinkie', 'nodejs-align-text', 'nodejs-graceful-fs', 'nodejs-kind-of', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'jenkins', 'openshift-origin-cartridge-jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-rc', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'atomic-openshift', 'nodejs-semver', 'nodejs-read-all-stream', 'nodejs-split', 'nodejs-normalize-path', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-event-stream', 'nodejs-ini', 'nodejs-pause-stream']"
CVE-2014-3682,['org.jbpm jbpm-designer-backend']
CVE-2014-3709,['org.keycloak keycloak-services']
CVE-2014-4611,"['extlz4', 'com.microsoft.spark spark-clr', 'com.microsoft.sparkclr spark-clr', 'lz4', 'lz4ext', 'org.apache.htrace htrace-zipkin', 'net.jpountz.lz4 lz4', 'org.apache.spark spark-streaming-kafka-assembly_2.10', 'org.apache.spark spark-streaming-kafka-assembly_2.11', 'org.apache.storm storm-starter', 'org.apache.bigtop.itest fat-smoke', 'org.graylog2 graylog2-server']"
CVE-2014-4715,"['io.ifar.kafka-archiver kafka-archiver', 'extlz4', 'lz4net', 'com.microsoft.sparkclr spark-clr', 'lz4', 'lz4ext', 'org.apache.htrace htrace-zipkin', 'com.microsoft.spark spark-clr', 'net.jpountz.lz4 lz4', 'org.apache.storm storm-starter', 'lz4-ruby', 'org.apache.spark spark-streaming-kafka-assembly_2.11', 'org.apache.spark spark-streaming-kafka-assembly_2.10', 'org.apache.bigtop.itest fat-smoke', 'org.graylog2 graylog2-server']"
CVE-2014-5075,"['jivesoftware smack', 'org.igniterealtime.smack smack-tcp', 'org.igniterealtime.smack smack']"
CVE-2014-5325,['org.directwebremoting dwr']
CVE-2014-5326,['org.directwebremoting dwr']
CVE-2014-6071,['jquery']
CVE-2014-6394,"['org.webjars.npm send', 'send']"
CVE-2014-6439,['org.elasticsearch elasticsearch']
CVE-2014-7191,"['ljharb-qs', 'org.webjars qs', 'org.webjars.npm qs', 'qs', 'nodejs010-node-gyp', 'nodejs010-nodejs-qs']"
CVE-2014-7808,"['org.apache.wicket wicket-util', 'org.apache.wicket wicket-core']"
CVE-2014-7809,['org.apache.struts struts2-core']
CVE-2014-7810,"['org.apache.tomcat el-api', 'org.apache.tomcat.embed tomcat-embed-jasper', 'org.apache.tomcat jasper', 'tomcat7', 'tomcat6', 'org.apache.tomcat tomcat-jasper', 'org.apache.tomcat.embed tomcat-embed-el', 'org.apache.tomcat tomcat-el-api', 'org.mortbay.jasper apache-el', 'org.apache.tomcat.embed tomcat-embed-core', 'org.mortbay.jasper apache-jsp']"
CVE-2014-7816,"['io.undertow undertow-core', 'io.undertow undertow-servlet']"
CVE-2014-8110,['org.apache.activemq activemq-web-console']
CVE-2014-8114,['org.uberfire uberfire-server']
CVE-2014-8115,['org.kie kie-drools-wb-distribution-wars']
CVE-2014-8125,"['org.drools drools-core', 'org.jbpm jbpm-bpmn2', 'org.graylog2 graylog2-bootstrap', 'org.graylog2 graylog2-server', 'org.graylog2 graylog2']"
CVE-2014-8152,['org.apache.santuario xmlsec']
CVE-2014-9515,['net.sf.dozer dozer']
CVE-2014-9527,['org.apache.poi poi-scratchpad']
CVE-2014-9970,"['eap7-jboss-metadata', 'eap7-wildfly-javadocs', 'eap7-jboss-remote-naming', 'eap7-log4j-jboss-logmanager', 'eap7-jasypt', 'eap7-picketlink-bindings', 'eap7-jboss-logmanager', 'eap7-wildfly', 'eap7-jboss-remoting', 'eap7-picketlink-federation', 'eap7-bouncycastle', 'eap7-hibernate-validator', 'eap7-undertow', 'eap7-jboss-jms-api_2.0_spec', 'rh-sso7-keycloak', 'eap7-jboss-ec2-eap', 'eap7-artemis-native', 'org.jasypt jasypt']"
CVE-2015-0201,"['org.springframework spring-core', 'org.springframework spring-websocket']"
CVE-2015-0225,['org.apache.cassandra cassandra-all']
CVE-2015-0250,"['batik batik-dom', 'org.apache.xmlgraphics batik-dom']"
CVE-2015-0263,['org.apache.camel camel-core']
CVE-2015-0264,['org.apache.camel camel-core']
CVE-2015-0279,['org.richfaces richfaces-a4j']
CVE-2015-0886,"['com.puresoltechnologies.purifinity.server server.ddl', 'de.nierbeck.cassandra Karaf-Cassandra-Embedded', 'org.hawkular.metrics hawkular-metrics-data-generator', 'com.puresoltechnologies.ductiledb ductiledb-jdbc', 'com.puresoltechnologies.purifinity.server global.ddl', 'io.paradoxical cassieq-core', 'org.mindrot jbcrypt']"
CVE-2015-0899,"['org.apache.struts struts-core', 'struts struts']"
CVE-2015-1169,['org.jasig.cas cas-server-support-ldap']
CVE-2015-1370,"['marked', 'org.webjars.npm marked', 'org.webjars marked']"
CVE-2015-1427,['org.elasticsearch elasticsearch']
CVE-2015-1772,['org.apache.hive hive-service']
CVE-2015-1776,"['org.apache.hadoop hadoop-mapreduce-client-app', 'org.apache.hadoop hadoop-mapreduce-client-core']"
CVE-2015-1796,['org.opensaml opensaml']
CVE-2015-1830,"['org.apache.activemq activemq-fileserver', 'org.apache.activemq apache-activemq']"
CVE-2015-1831,['org.apache.struts.xwork xwork-core']
CVE-2015-1832,['org.apache.derby derby']
CVE-2015-1833,['org.apache.jackrabbit jackrabbit-webdav']
CVE-2015-1836,['org.apache.hbase hbase-client']
CVE-2015-2080,"['com.elastisys.scale cloudpool.openstack', 'com.elastisys.scale cloudadapters.splitter', 'io.advantageous.qbit qbit-jetty', 'org.eclipse.jetty jetty-http', 'com.github.mtakaki credential-storage-client', 'co.paralleluniverse comsat-jetty-loader', 'com.elastisys.scale cloudpool.splitter', 'com.elastisys.scale cloudpool.aws.autoscaling', 'com.neuronrobotics BowlerScriptingKernel', 'com.elastisys.scale cloudadapters.aws.ec2', 'com.elastisys.scale cloudpool.aws.spot', 'com.qubole quark-server', 'com.elastisys.scale cloudpool.aws.ec2', 'org.eclipse.jetty.aggregate jetty-all', 'com.github.mtakaki credential-storage', 'com.elastisys.scale cloudadapters.aws.autoscaling', 'com.elastisys.scale cloudadapters.openstack']"
CVE-2015-2156,"['de.is24.util junit-karma-testrunner', 'com.puresoltechnologies.purifinity.server server.ddl', 'io.netty netty-handler', 'com.automation-remarks video-recorder-remote', 'io.netty netty-codec-http', 'com.facebook.nifty nifty-load-tester', 'com.testingbot TestingBotTunnel', 'org.apache.camel camel-web-standalone', 'com.puresoltechnologies.purifinity.plugins metrics.ddl', 'com.puresoltechnologies.purifinity.server passwordstore.ddl', 'com.puresoltechnologies.purifinity.server global.ddl', 'org.apache.bigtop.itest fat-smoke', 'com.github.brandtg switchboard-hdfs', 'com.facebook.swift swift-load-generator', 'com.github.sakserv hadoop-mini-clusters', 'io.netty netty-all', 'com.ge.snowizard snowizard-application', 'com.github.jsimone webapp-runner', 'com.iveely com.iveely.computing', 'com.neuronrobotics BowlerScriptingKernel', 'io.netty netty-example', 'com.salesforceiq.augmenteddriver AugmentedDriver', 'io.netty netty', 'com.puresoltechnologies.purifinity.server systemmonitor.ddl', 'com.github.sakserv hadoop-mini-clusters-hbase', 'co.cask.cdap cdap-flume', 'com.data-artisans cascading-flink']"
CVE-2015-2575,['mysql mysql-connector-java']
CVE-2015-2582,"['mariadb55-mariadb', 'rh-mariadb100-mariadb', 'mysql55-mysql', 'rh-mysql56-mysql']"
CVE-2015-2912,"['com.orientechnologies orientdb-server', 'com.orientechnologies orientdb-core']"
CVE-2015-2913,['com.orientechnologies orientdb-server']
CVE-2015-2944,"['org.apache.sling org.apache.sling.servlets.post', 'org.apache.sling org.apache.sling.api']"
CVE-2015-3188,['org.apache.storm storm-core']
CVE-2015-3190,['org.cloudfoundry.identity cloudfoundry-identity-login']
CVE-2015-3191,['org.cloudfoundry.identity cloudfoundry-identity-login']
CVE-2015-3192,"['org.springframework spring-oxm', 'org.springframework spring-web']"
CVE-2015-3250,"['org.apache.directory.api api-ldap-model', 'org.apache.directory.server apacheds-all', 'org.apache.directory.api api-ldap-client-all', 'org.apache.directory.api apache-ldap-api', 'org.apache.directory.api api-all']"
CVE-2015-3253,"['org.codehaus.groovy groovy-all', 'groovy', 'org.codehaus.groovy groovy', 'rh-maven33-groovy']"
CVE-2015-3269,['org.apache.flex.blazeds flex-messaging-core']
CVE-2015-3271,['org.apache.tika tika-server']
CVE-2015-3337,['org.elasticsearch elasticsearch']
CVE-2015-4165,['org.elasticsearch elasticsearch']
CVE-2015-5169,['org.apache.struts struts2-core']
CVE-2015-5170,['org.cloudfoundry.identity cloudfoundry-identity-login']
CVE-2015-5171,['org.cloudfoundry.identity cloudfoundry-identity-common']
CVE-2015-5172,['org.cloudfoundry.identity cloudfoundry-identity-login']
CVE-2015-5173,['org.cloudfoundry.identity cloudfoundry-identity-login']
CVE-2015-5175,['org.apache.cxf.fediz fediz-core']
CVE-2015-5209,"['org.apache.struts struts2-core', 'org.apache.struts.xwork xwork-core']"
CVE-2015-5211,['org.springframework spring-web']
CVE-2015-5237,['com.google.protobuf protobuf-java']
CVE-2015-5241,['org.apache.juddi juddi-parent']
CVE-2015-5253,['org.apache.cxf cxf-rt-rs-security-sso-saml']
CVE-2015-5254,"['rubygem-openshift-origin-console', 'php', 'openshift-origin-broker-util', 'openshift-origin-cartridge-haproxy', 'openshift-origin-cartridge-php', 'org.apache.activemq activemq-client', 'org.apache.activemq activemq-all', 'openshift-origin-cartridge-cron', 'rubygem-openshift-origin-node', 'rubygem-openshift-origin-common', 'openshift-origin-cartridge-python', 'openshift-origin-msg-node-mcollective', 'openshift-origin-cartridge-mysql', 'openshift-origin-node-proxy', 'openshift-origin-node-util', 'jenkins', 'rhc', 'openshift-enterprise-upgrade', 'activemq', 'rubygem-openshift-origin-frontend-apache-vhost', 'rubygem-openshift-origin-controller']"
CVE-2015-5255,['org.apache.flex.blazeds flex-messaging-core']
CVE-2015-5258,['org.springframework.social spring-social-core']
CVE-2015-5262,"['org.apache.httpcomponents httpclient', 'org.apache.httpcomponents httpclient-android']"
CVE-2015-5317,"['nodejs-from', 'openshift-origin-cartridge-cron', 'nodejs-got', 'openshift-origin-msg-node-mcollective', 'nodejs-rc', 'openshift-origin-cartridge-python', 'nodejs-object-assign', 'nodejs-slide', 'nodejs-mkdirp', 'nodejs-pinkie', 'php', 'nodejs-align-text', 'nodejs-graceful-fs', 'rubygem-openshift-origin-frontend-apache-vhost', 'openshift-origin-cartridge-php', 'nodejs-kind-of', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'openshift-origin-node-util', 'jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-duplexify', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'openshift-origin-cartridge-mysql', 'nodejs-event-stream', 'atomic-openshift', 'nodejs-normalize-path', 'rhc', 'nodejs-semver', 'activemq', 'nodejs-read-all-stream', 'rubygem-openshift-origin-console', 'nodejs-split', 'openshift-origin-broker-util', 'rubygem-openshift-origin-controller', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-registry-url', 'rubygem-openshift-origin-common', 'openshift-origin-node-proxy', 'nodejs-ini', 'openshift-origin-cartridge-haproxy', 'nodejs-pause-stream', 'openshift-enterprise-upgrade', 'rubygem-openshift-origin-node']"
CVE-2015-5318,"['nodejs-from', 'openshift-origin-cartridge-cron', 'nodejs-got', 'openshift-origin-msg-node-mcollective', 'nodejs-rc', 'openshift-origin-cartridge-python', 'nodejs-object-assign', 'nodejs-slide', 'nodejs-mkdirp', 'nodejs-pinkie', 'php', 'nodejs-align-text', 'nodejs-graceful-fs', 'rubygem-openshift-origin-frontend-apache-vhost', 'openshift-origin-cartridge-php', 'nodejs-kind-of', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'openshift-origin-node-util', 'jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-duplexify', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'openshift-origin-cartridge-mysql', 'nodejs-event-stream', 'atomic-openshift', 'nodejs-normalize-path', 'rhc', 'nodejs-semver', 'activemq', 'nodejs-read-all-stream', 'rubygem-openshift-origin-console', 'nodejs-split', 'openshift-origin-broker-util', 'rubygem-openshift-origin-controller', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-registry-url', 'rubygem-openshift-origin-common', 'openshift-origin-node-proxy', 'nodejs-ini', 'openshift-origin-cartridge-haproxy', 'nodejs-pause-stream', 'openshift-enterprise-upgrade', 'rubygem-openshift-origin-node']"
CVE-2015-5319,"['nodejs-from', 'openshift-origin-cartridge-cron', 'nodejs-got', 'openshift-origin-msg-node-mcollective', 'nodejs-rc', 'openshift-origin-cartridge-python', 'nodejs-object-assign', 'nodejs-slide', 'nodejs-mkdirp', 'nodejs-pinkie', 'php', 'nodejs-align-text', 'nodejs-graceful-fs', 'rubygem-openshift-origin-frontend-apache-vhost', 'openshift-origin-cartridge-php', 'nodejs-kind-of', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'openshift-origin-node-util', 'jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-duplexify', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'openshift-origin-cartridge-mysql', 'nodejs-event-stream', 'atomic-openshift', 'nodejs-normalize-path', 'rhc', 'nodejs-semver', 'activemq', 'nodejs-read-all-stream', 'rubygem-openshift-origin-console', 'nodejs-split', 'openshift-origin-broker-util', 'rubygem-openshift-origin-controller', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-registry-url', 'rubygem-openshift-origin-common', 'openshift-origin-node-proxy', 'nodejs-ini', 'openshift-origin-cartridge-haproxy', 'nodejs-pause-stream', 'openshift-enterprise-upgrade', 'rubygem-openshift-origin-node']"
CVE-2015-5320,"['nodejs-from', 'openshift-origin-cartridge-cron', 'nodejs-got', 'openshift-origin-msg-node-mcollective', 'nodejs-rc', 'openshift-origin-cartridge-python', 'nodejs-object-assign', 'nodejs-slide', 'nodejs-mkdirp', 'nodejs-pinkie', 'php', 'nodejs-align-text', 'nodejs-graceful-fs', 'rubygem-openshift-origin-frontend-apache-vhost', 'openshift-origin-cartridge-php', 'nodejs-kind-of', 'nodejs-lowercase-keys', 'nodejs-prepend-http', 'nodejs-readdirp', 'openshift-origin-node-util', 'jenkins', 'nodejs-through', 'nodejs-map-stream', 'nodejs-duplexify', 'heapster', 'nodejs-pinkie-promise', 'nodejs-osenv', 'origin-kibana', 'openvswitch', 'openshift-origin-cartridge-mysql', 'nodejs-event-stream', 'atomic-openshift', 'nodejs-normalize-path', 'rhc', 'nodejs-semver', 'activemq', 'nodejs-read-all-stream', 'rubygem-openshift-origin-console', 'nodejs-split', 'openshift-origin-broker-util', 'rubygem-openshift-origin-controller', 'nodejs-stream-combiner', 'openshift-ansible', 'nodejs-optimist', 'nodejs-is-stream', 'nodejs-registry-url', 'rubygem-openshift-origin-common', 'openshift-origin-node-proxy', 'nodejs-ini', 'openshift-origin-cartridge-haproxy', 'nodejs-pause-stream', 'openshift-enterprise-upgrade', 'rubygem-openshift-origin-node']"
